codigo,cuenta,valor_2021,valor_2020,grupo,min_ratio_operativo,peso_impacto
5.1.01,SUELDOS Y SALARIOS,22589170702.0,22298880401.0,5.1,0.95,10.0
5.1.03,CONTRIBUCIONES EFECTIVAS,6488580186.0,6081118673.0,5.1,0.95,10.0
5.1.04,APORTES SOBRE LA NÓMINA,1236388100.0,1205539400.0,5.1,0.95,10.0
5.1.07,PRESTACIONES SOCIALES,8465834241.0,7734981992.0,5.1,0.95,10.0
5.1.08,GASTOS DE PERSONAL DIVERSOS,131297647.51,26680604918.22,5.1,0.7,3.0
5.1.11,GENERALES,117169749949.01,68847127405.13,5.1,0.8,4.0
5.1.20,"IMPUESTOS, CONTRIBUCIONES Y TASAS",426331696.0,322787683.0,5.1,0.85,5.0
5.3.47,DETERIORO DE CUENTAS POR COBRAR,16918311042.32,7408071161.81,5.3,0.9,8.0
5.3.60,"DEPRECIACIÓN DE PROPIEDADES, PLANTA Y EQUIPO",5358380965.12,4924518864.0,5.3,0.85,5.0
5.3.66,AMORTIZACIÓN DE ACTIVOS INTANGIBLES,647534612.68,779781117.21,5.3,0.85,5.0
5.3.68,PROVISIÓN LITIGIOS Y DEMANDAS,459055196.29,4289535414.13,5.3,0.9,8.0
5.4.23,OTRAS TRANSFERENCIAS,7419053967.58,7816826914.94,5.4,0.85,6.0
5.7.20,OPERACIONES DE ENLACE,27996321.08,74327125.96,5.7,0.85,5.0
5.8.02,COMISIONES,7920000.0,0.0,5.8,0.7,3.0
5.8.04,FINANCIEROS,4533739078.93,14767787248.19,5.8,0.7,3.0
5.8.90,GASTOS DIVERSOS,398762043.0,98692360.76,5.8,0.7,3.0
5.8.93,DEVOLUCIONES Y DESCUENTOS INGRESOS FISCALES,1442007644.94,7677119751.58,5.8,0.85,5.0
